sample_id	pipeline_type	seq_category	seq_type	mutant_id	mutant_name	replicate	trimmed	count	mean	std	min	25%	50%	75%	max
301_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	301	swi6d	2	False	0.010948191593352884	0.8266003104638345	0.7399017849701948	18.43877551020408	0.23449420883020278	0.754852430208874	1.2659972988537007	0.13612819058423142
301_S2-RIP_1	RNA	S2-RIP	S2-RIP	301	swi6d	1	False	0.0033490937746256896	0.06973006119760522	0.023487109971575947	14.628865979381443	0.12705700420400934	0.07967967624248253	0.08266508498058417	0.0046677892691281584
301_S2-RIP_2	RNA	S2-RIP	S2-RIP	301	swi6d	2	False	0.0072549019607843135	0.9111646013812181	0.4610302387691564	23.558823529411764	0.506476956436232	1.3050221280155792	1.2712359068518924	0.06029043631410394
301_S2-RIP_3	RNA	S2-RIP	S2-RIP	301	swi6d	3	True	0.0031708283789139914	0.2291273944586809	0.16182614035121198	45.13265306122449	0.323293172690763	0.19255970059066832	0.23616666002249123	0.03221626921595405
301_pA-RNA_1	RNA	pA-RNA	pA-RNA	301	swi6d	1	False	0.0003940110323089047	0.01392322232419016	0.0	32.84931506849315	0.10739535101458471	0.05102610882628818	0.021759729188212236	0.00013484820022722282
301_pA-RNA_2	RNA	pA-RNA	pA-RNA	301	swi6d	2	False	0.001762977473065622	0.016086717618997284	0.003691706770272088	14.855421686746988	0.04577523240371846	0.02294612838946971	0.02736050156739812	0.0004140955749095685
301_pA-RNA_3	RNA	pA-RNA	pA-RNA	301	swi6d	3	True	0.0007841599686336013	0.016019778787596733	0.004003098082293222	23.040000000000003	0.04721177010068913	0.028160248911893913	0.023681385143165902	0.0003668715392438758
302_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	302	clr3d	1	False	0.011145874071177161	0.28904341482652623	0.14737084691113614	12.209459459459461	0.2519796593676133	0.41494374743135065	0.35644822287249456	0.024013627472193943
302_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	302	clr3d	2	False	0.011539213768824564	0.2541859835254207	0.15578067694248313	27.784722222222218	0.2742957951421936	0.3174657534246575	0.30689837897728645	0.05127245231547032
302_S2-RIP_1	RNA	S2-RIP	S2-RIP	302	clr3d	1	False	0.0019696671262556626	0.10955202363980744	0.047247379308675314	22.33838383838384	0.16990255296678666	0.11998456790123456	0.12623870591664238	0.009824954139850139
302_S2-RIP_2	RNA	S2-RIP	S2-RIP	302	clr3d	2	False	0.007452441655226515	0.09580589910103016	0.064524113189333	22.566326530612244	0.08946418832363051	0.1128712129723252	0.091626296502557	0.021081379712924647
302_S2-RIP_3	RNA	S2-RIP	S2-RIP	302	clr3d	3	True	0.004916420845624385	0.3457383212550148	0.27555928966269083	22.227777777777778	0.35424886513088116	0.27654776547765475	0.3864168618266979	0.0637491350493148
302_pA-RNA_1	RNA	pA-RNA	pA-RNA	302	clr3d	1	False	0.0005898545025560362	0.00892407979921238	0.0016237739795506932	20.623711340206185	0.03828821733363036	0.020501224797437347	0.013920591825048038	0.00020334876139997262
302_pA-RNA_2	RNA	pA-RNA	pA-RNA	302	clr3d	2	False	0.003532182103610675	0.012249843683784683	0.00224047128497838	24.523255813953487	0.052502574499971165	0.025903913064347757	0.0230126686809761	0.00037102151349397306
324_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	324	chp2d	1	False	0.01134585289514867	0.2860370618441518	0.18218156381089537	22.308641975308642	0.2441035903276167	0.3700375303012214	0.3676384318797609	0.04523246310706061
324_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	324	chp2d	2	False	0.010954616588419406	0.701038172598882	0.5728475347625703	4.124742268041237	0.4520904899242372	0.7991448997268488	0.9373344112606746	0.10988709393476054
324_S2-RIP_1	RNA	S2-RIP	S2-RIP	324	chp2d	1	False	0.0013757861635220125	0.06922596079776984	0.017254456199325627	21.742268041237114	0.13876842751388033	0.09590186496045204	0.08572051328740724	0.0033514305657118726
324_S2-RIP_2	RNA	S2-RIP	S2-RIP	324	chp2d	2	False	0.0007958615200955034	0.7316052003705241	0.22935403017751327	48.75609756097562	1.5558898898640148	0.9545782263878875	0.7225500013807991	0.04169373720533975
324_S2-RIP_3	RNA	S2-RIP	S2-RIP	324	chp2d	3	True	0.004917387883556255	0.3212268092080245	0.31300246105375606	41.24742268041237	0.2508576725535725	0.2554627721048703	0.2524566918537985	0.07968384928468143
324_pA-RNA_1	RNA	pA-RNA	pA-RNA	324	chp2d	1	False	0.00039439952672056796	0.018739333702178194	0.0	31.561643835616437	0.11308056335334207	0.05517503805175038	0.0249980516004792	0.0002942372812700249
324_pA-RNA_2	RNA	pA-RNA	pA-RNA	324	chp2d	2	False	0.0027440219521756176	0.018795235252097236	0.003765439631049635	10.640957446808509	0.04278857946313006	0.054352018932424924	0.03687045918370844	0.00042366171808198063
324_pA-RNA_3	RNA	pA-RNA	pA-RNA	324	chp2d	3	True	0.001572636131315117	0.009814557636892615	0.0012304793214881567	20.676470588235293	0.045223426268543476	0.022640292312216072	0.01984058141110101	0.0001493307467083018
324_pA-RNA_4	RNA	pA-RNA	pA-RNA	324	chp2d	4	True	0.0013741656851197488	0.006347743913098517	0.0001914261027025568	17.814432989690722	0.041332653242514915	0.02054539447492588	0.009075527178028604	7.910944845134557e-05
491_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	491	mit1d	1	False	0.011536957371920219	0.23543273735292397	0.13973053609518798	9.314432989690722	0.20655115557464035	0.3190965619422052	0.284270639590263	0.024035876132149425
491_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	491	mit1d	2	False	0.010170154508116565	0.8610013736922992	0.919603485084814	20.397959183673468	0.34922519031278343	0.7774321775062882	1.243807183072173	0.1511168869862477
491_S2-ChIP_3	ChIP	S2-ChIP	S2-ChIP	491	mit1d	3	False	0.012121212121212121	0.48097184262334064	1.3781450225543308	11.270422535211267	0.11460649561476881	0.23276973159713	0.8384774429212307	0.2182398750130866
491_S2-RIP_1	RNA	S2-RIP	S2-RIP	491	mit1d	1	False	0.0019646365422396855	0.12509428067500983	0.07641079258166703	21.742268041237114	0.1250998532632104	0.12672030700947357	0.143727651889441	0.01083930473516026
491_S2-RIP_2	RNA	S2-RIP	S2-RIP	491	mit1d	2	False	0.004329856327494588	0.16436185401717626	0.06799868646706132	52.6547619047619	0.2492690058479532	0.2628998651795563	0.17432655156575072	0.017692494880734152
491_S2-RIP_3	RNA	S2-RIP	S2-RIP	491	mit1d	3	True	0.004730928444707274	0.360718432723353	0.3104782819634592	39.225490196078425	0.24073658207949697	0.2233493299136051	0.3144560567889571	0.06791317429615301
491_pA-RNA_1	RNA	pA-RNA	pA-RNA	491	mit1d	1	False	0.000982897582071948	0.00660521479432145	0.0008451533870636237	21.7710843373494	0.02830466788707016	0.01458083287870522	0.010268215935856653	0.00015256840745858226
491_pA-RNA_2	RNA	pA-RNA	pA-RNA	491	mit1d	2	False	0.002353402627966268	0.006527321435035451	0.0012701376327193274	20.676470588235293	0.027517552157230413	0.014039674870687205	0.007792563431309871	0.00019381065165722356
504_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	504	rrp6d	1	False	0.010952474085663993	0.33638035001082883	0.21462402365450872	20.07777777777778	0.24684133528394733	0.4103643455098934	0.4540075755069635	0.026290477959654245
504_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	504	rrp6d	2	False	0.011143695014662757	0.17503854286355622	0.17180373653110287	14.479591836734691	0.1498747183234517	0.15670103092783505	0.18795224779721745	0.0442611366940927
504_S2-RIP_1	RNA	S2-RIP	S2-RIP	504	rrp6d	1	False	0.004128981517892253	0.14918924889571805	0.055730886360567757	24.773195876288657	0.23464743883487582	0.20669150599573352	0.1663283503320311	0.01206528607365547
504_S2-RIP_2	RNA	S2-RIP	S2-RIP	504	rrp6d	2	False	0.0025580480125934673	0.19179869127906304	0.16994386238368936	20.783505154639176	0.2301682835362382	0.15252794300099126	0.13432121947538933	0.03299264837726376
504_pA-RNA_1	RNA	pA-RNA	pA-RNA	504	rrp6d	1	True	0.0035287198588512055	0.024000789440665155	0.01318299131398513	20.762886597938145	0.03460076045627376	0.022130698686383156	0.016532227387864838	0.001941438610072595
504_pA-RNA_2	RNA	pA-RNA	pA-RNA	504	rrp6d	2	True	0.002156017248137985	0.03256649178367454	0.018160675680956095	17.715686274509803	0.031318388408039126	0.01842040151486951	0.019097700831965905	0.0022590447864689256
510_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	510	caf1d	1	False	0.011336982017200938	0.4169894034945878	1.504677797881445	44.81111111111111	0.06895761586715653	0.15027021554243175	0.7327822651620753	0.19546425796425798
510_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	510	caf1d	2	False	0.010948191593352884	0.22343774116499937	0.14921916534013518	4.50462962962963	0.16282400393549956	0.25795170160152076	0.24334959253903155	0.023846329738814113
510_S2-RIP_1	RNA	S2-RIP	S2-RIP	510	caf1d	1	False	0.008627450980392156	0.37980566261666976	0.5483115883915886	41.21649484536083	0.2640268821768712	0.2693126306054936	0.3408210907449851	0.13704857138459486
510_pA-RNA_1	RNA	pA-RNA	pA-RNA	510	caf1d	1	False	0.0019634792852935403	0.013754748280977792	0.004601352098730025	14.855421686746988	0.031960966915004406	0.018822243049047175	0.022566547965688206	0.000669218312065072
510_pA-RNA_2	RNA	pA-RNA	pA-RNA	510	caf1d	2	False	0.001372279945108802	0.03238072995212623	0.019375834852693286	18.678571428571427	0.020137926146929507	0.0462073195665508	0.052573464166585704	0.0039372221718225525
510_total-RNA_1	RNA	total-RNA	total-RNA	510	caf1d	1	False	0.008326724821570182	1.8213525077358177	1.9700974878978204	39.225490196078425	0.7709588542538709	0.7985422400079001	1.0775764677925037	0.7251268814348495
510_total-RNA_2	RNA	total-RNA	total-RNA	510	caf1d	2	False	0.005332806636381592	0.18173607355731553	0.08453499936257458	55.76744186046512	0.31234523650556034	0.29244690674053553	0.2543788797864376	0.025698804506751525
523_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	523	unknown	1	False	0.01133919843597263	0.7803013480873902	2.464481339413703	3.852787456445993	0.11703538109238489	0.27588305933369195	1.3172005129800546	0.43590695218334574
523_S2-RIP_1	RNA	S2-RIP	S2-RIP	523	unknown	1	False	0.004590818363273453	1.2257083571123295	0.841281162113137	53.28915662650603	1.2167297968878819	1.3585906269112322	1.3945168432516233	0.23313214278306682
523_S2-RIP_2	RNA	S2-RIP	S2-RIP	523	unknown	2	False	0.006300452845048238	0.5112133935789078	0.23876125463482878	42.563829787234035	0.8630749967702243	0.6726967359997679	0.6427090480750155	0.05233219567690557
523_S2-RIP_3	RNA	S2-RIP	S2-RIP	523	unknown	3	False	0.005710909807010634	0.8303435805699811	0.5777671985216157	23.558823529411764	0.5855902606174427	0.7687855109130945	0.8048175860517858	0.13461384918960226
523_pA-RNA_1	RNA	pA-RNA	pA-RNA	523	unknown	1	False	0.0013712047012732615	0.009431832332152806	0.002018395466175563	18.628865979381445	0.030811120419336303	0.017769545482301693	0.008829898346226437	0.0004475358008697033
524_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	524	unknown	1	False	0.011730205278592375	0.36107712401957515	1.2073554453269852	3.2120551924473495	0.08671290901698149	0.1766893358838648	0.5626231623485329	0.15938262855342938
524_S2-RIP_1	RNA	S2-RIP	S2-RIP	524	unknown	1	False	0.006101161188742373	1.0309128234690175	0.9962887980170358	39.225490196078425	0.65012351223894	0.8238292449824783	0.7841255571252576	0.25458198622755585
524_pA-RNA_1	RNA	pA-RNA	pA-RNA	524	unknown	1	False	0.0021572857423024124	0.009844888424665346	0.0008893207788265599	30.597938144329895	0.036216295732897454	0.020796788695162646	0.010284321815140253	0.00037970063549094325
530_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	530	exo2d	1	False	0.011343633874437709	0.4434312071749341	0.3803112470511435	5.26547619047619	0.35719590171100696	0.40759038850213336	0.5912590188835573	0.08523068981416515
530_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	530	exo2d	2	False	0.010559249120062574	0.20721488729907692	0.12188046396370783	9.314432989690722	0.2037018466666178	0.22481693031546282	0.260908842636817	0.028112510827115657
530_S2-RIP_1	RNA	S2-RIP	S2-RIP	530	exo2d	1	False	0.0029691211401425177	0.19506984527780305	0.11543530054783846	40.795918367346935	0.3604062890929064	0.2612823086520017	0.15181571044538875	0.028600295329136553
530_S2-RIP_2	RNA	S2-RIP	S2-RIP	530	exo2d	2	False	0.0035481963335304554	0.15436883372477586	0.08212227960617355	25.061855670103093	0.290724845056501	0.19640432579216824	0.1562343921686145	0.02645656980509063
530_pA-RNA_1	RNA	pA-RNA	pA-RNA	530	exo2d	1	True	0.0017664376840039254	0.007776105842212925	0.0008716351415429032	15.872093023255815	0.03691502586436862	0.01802741564152877	0.012173606416942793	0.00014615970952504382
530_pA-RNA_2	RNA	pA-RNA	pA-RNA	530	exo2d	2	True	0.0013725490196078432	0.011847155949611072	0.0025673792843548095	18.628865979381445	0.034564073771096236	0.020843614319889125	0.020528508129960973	0.0003029049482245382
544_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	544	ccr4d	1	False	0.009000195656427314	0.20354078302914372	0.08889641121955516	20.695121951219512	0.18410861369782255	0.19418604651162788	0.2891278543643774	0.008822903488963243
544_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	544	ccr4d	2	False	0.011536957371920219	0.8373120320925181	0.7508652352210748	4.18287037037037	0.22713590318978943	0.47322512203001815	1.485149033122041	0.08302490242704837
544_S2-RIP_1	RNA	S2-RIP	S2-RIP	544	ccr4d	1	False	0.000594059405940594	0.21428078691705896	0.04685915677536099	46.49315068493151	0.4946686070391767	0.4142045144791773	0.2522684664256099	0.0030820529926115048
544_S2-RIP_3	RNA	S2-RIP	S2-RIP	544	ccr4d	3	False	0.00920666013712047	0.21095017286766282	0.22323947723221021	21.681372549019606	0.1284896705750977	0.20709651793989142	0.1903793915339128	0.06365984024983484
544_pA-RNA_1	RNA	pA-RNA	pA-RNA	544	ccr4d	1	False	0.000785700255352583	0.007988689416564266	0.001919426745116848	13.749140893470791	0.023490705772947585	0.017676166315959266	0.012229022519985974	0.0002646222782612039
544_pA-RNA_2	RNA	pA-RNA	pA-RNA	544	ccr4d	2	False	0.0011806375442739079	0.015588983411486297	0.003867716422940547	18.577319587628864	0.051669608590813355	0.026743240137312475	0.022519875535927672	0.0006819109326099022
591_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	591	caf1d	1	False	0.01133919843597263	0.17545408536571103	0.1111258032740319	55.569444444444436	0.16022305921384378	0.19090011068397938	0.19198529548274143	0.019698607919989185
591_S2-RIP_1	RNA	S2-RIP	S2-RIP	591	caf1d	1	False	0.001583531274742676	0.28349931370908443	0.10899699859029224	22.566326530612244	0.5606426274765485	0.42262428894698206	0.2853561240439127	0.013636564647045345
638_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	638	ago1d	1	False	0.012123582323034806	0.3608522524003359	0.18133700781964932	9.253521126760564	0.24888027978112337	0.4662911250467801	0.5827702357510652	0.03397120928068592
638_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	638	ago1d	2	False	0.010369790647622775	0.4019406155011522	0.3463955959055468	43.5421686746988	0.23804724532788882	0.37485234567187686	0.5860913702006922	0.07875613925596289
638_S2-RIP_1	RNA	S2-RIP	S2-RIP	638	ago1d	1	False	0.003153952296471516	0.2485337156227731	0.1307344406880511	30.597938144329895	0.3796766011414077	0.24850319872526636	0.2904457509020779	0.024948113329294752
638_S2-RIP_2	RNA	S2-RIP	S2-RIP	638	ago1d	2	False	0.004549050632911392	0.21431874126372244	0.08303839373705005	43.36274509803921	0.4299061573567775	0.26471034586629416	0.2761078140217939	0.016188939265862342
638_pA-RNA_1	RNA	pA-RNA	pA-RNA	638	ago1d	1	True	0.0017622870569806149	0.01393425120399867	0.0037537441612249937	21.7710843373494	0.041791216687589346	0.019256533389010684	0.024859631340123905	0.00042311934270559644
638_pA-RNA_2	RNA	pA-RNA	pA-RNA	638	ago1d	2	True	0.001961938395134393	0.013642743911711027	0.002898889092036676	9.101010101010102	0.04397271215445976	0.02459250536330566	0.020569700046350916	0.00037411436203933817
638_pA-RNA_3	RNA	pA-RNA	pA-RNA	638	ago1d	3	False	0.0025450274079874707	0.013046706136764993	0.006121666033901762	13.85858585858586	0.02310039340827284	0.015472760967436472	0.011715316216576612	0.000967662228960785
638_total-RNA_1	RNA	total-RNA	total-RNA	638	ago1d	1	False	0.009108910891089108	1.7254193921003842	1.0302450265976804	48.204819277108435	1.561587469114339	2.0058489705284486	2.0970145554670965	0.2989163770190145
638_total-RNA_2	RNA	total-RNA	total-RNA	638	ago1d	2	False	0.005909001378766989	0.2533406976106915	0.10304226448700178	22.350515463917525	0.4631787949921753	0.3690218232471753	0.5030533214179327	0.0168824528147309
80_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	80	clr4d	1	False	0.01134585289514867	0.4540722737689087	0.36440533476326187	20.623711340206185	0.1517377965041168	0.4970869963670438	0.6680594018963055	0.06736887310923859
80_S2-ChIP_2	ChIP	S2-ChIP	S2-ChIP	80	clr4d	2	False	0.010367762128325509	0.7630585992809641	0.6850595847607854	10.58108108108108	0.3533225891670646	0.7954249179468258	1.2122487494126248	0.12195545967754477
80_S2-ChIP_3	ChIP	S2-ChIP	S2-ChIP	80	clr4d	3	False	0.011145874071177161	0.2513531793059102	0.13214453849657942	10.755952380952381	0.22390167331147243	0.32944364770288	0.34117793507971317	0.024162682650934044
80_S2-RIP_1	RNA	S2-RIP	S2-RIP	80	clr4d	1	False	0.004730928444707274	0.3473173823165614	0.1830361380645224	45.13265306122449	0.3994456604491816	0.4561502612625335	0.387768934628646	0.03812154696132597
80_S2-RIP_2	RNA	S2-RIP	S2-RIP	80	clr4d	2	False	0.004733727810650888	0.26557446108404686	0.1713797737277371	47.0531914893617	0.36568196088733756	0.21842713348721907	0.22146999331019768	0.03242526018990753
80_S2-RIP_3	RNA	S2-RIP	S2-RIP	80	clr4d	3	False	0.003142801021410332	0.19220150197551927	0.09252482226002307	41.24742268041237	0.2847376431222467	0.2237638135829745	0.25313361496188774	0.02136871343101405
80_pA-RNA_1	RNA	pA-RNA	pA-RNA	80	clr4d	1	False	0.0							
80_pA-RNA_2	RNA	pA-RNA	pA-RNA	80	clr4d	2	False	0.0015670910871694416	0.01060256736289449	0.002561314956619593	14.628865979381443	0.03811325182848798	0.0221918393255699	0.011729329073960468	0.00034213457631326443
80_total-RNA_1	RNA	total-RNA	total-RNA	80	clr4d	1	False	0.008349900596421472	1.238948048569515	0.837253069109901	24.721649484536083	0.7181163448292529	0.9771370726151896	1.0727488947169894	0.2145879652872409
80_total-RNA_2	RNA	total-RNA	total-RNA	80	clr4d	2	False	0.010220125786163521	0.45783520682486006	0.21032513301261915	40.795918367346935	0.5678206394789691	0.4873940427916106	1.2267893895637354	0.0494973186378782
WT_S2-ChIP_1	ChIP	S2-ChIP	S2-ChIP	WT	wt	1	True	0.00881488736532811	0.41667018703439285	0.209467278282613	13.32876712328767	0.39820500708549833	0.5086676800712454	0.5300476807804706	0.04309639908982739
WT_S2-ChIP_3	ChIP	S2-ChIP	S2-ChIP	WT	wt	3	False	0.010752688172043012	0.2971169610868723	0.18973575924822858	9.314432989690722	0.21900527218723967	0.32642854640367164	0.3724512576202431	0.027515748396707593
WT_S2-RIP_1	RNA	S2-RIP	S2-RIP	WT	wt	1	False	0.005324393610727667	0.14706384037452433	0.09936295279643857	20.413265306122447	0.12364709958799483	0.1574985464968023	0.15372105214634824	0.02113495632593942
WT_S2-RIP_2	RNA	S2-RIP	S2-RIP	WT	wt	2	True	0.0045725646123260435	0.31489246329108406	0.17448746085676825	43.36274509803921	0.4331937286007313	0.2547435419935992	0.30508482388617036	0.03476145180181055
WT_pA-RNA_1	RNA	pA-RNA	pA-RNA	WT	wt	1	False	0.0009832841691248771	0.007475642385921993	0.001044972974530418	16.44578313253012	0.03504968854878096	0.017146013831490767	0.012054113430074578	0.0003300119785993498
WT_pA-RNA_2	RNA	pA-RNA	pA-RNA	WT	wt	2	False	0.0011776251226692837	0.007141267184157722	0.0010484945842706968	14.479591836734691	0.03318668605208243	0.017999173998589302	0.008953872786739524	0.00037428644987171636
WT_pA-RNA_3	RNA	pA-RNA	pA-RNA	WT	wt	3	True	0.0015738736966358449	0.012707659036410569	0.0020868314820446324	26.673333333333332	0.040060460877150796	0.03683861455467124	0.024842978549262873	0.00023459997508216323
WT_pA-RNA_4	RNA	pA-RNA	pA-RNA	WT	wt	4	True	0.0007863180656575585	0.022469910920377496	0.004863377608452874	23.54794520547945	0.04856302219454154	0.0650947448809126	0.04935744668916838	0.0003772269939092807
WT_total-RNA_1	RNA	total-RNA	total-RNA	WT	wt	1	False	0.005016051364365971	0.6951923900083213	0.43122626367654726	40.826530612244895	0.7557374758413535	0.7489922291966522	0.48183111415938595	0.10243672519695053
WT_total-RNA_2	RNA	total-RNA	total-RNA	WT	wt	2	False	0.010278711207748568	1.6329361436879746	0.7397539825907774	31.005154639175256	1.047251437909907	1.2339303770041887	3.757161434726724	0.10056210421459574
